İl,Yatırım Konusu
Kars,"Yüksek Ekonomik Değere Sahip Endüstriyel Süt Ürünleri Üretimi (Çiğ süt, süt asidi, kazein, süt protein izolatı/ süt protein konsantresi, rennet kazein, peynir altı suyu protein izolatı/konsantresi, saf rafine laktoz vb.)"
Kars,"Entegre Kaz Yetiştiriciliği ve Ürünleri İşleme Tesisi (Palaz, kaz yumurtası, kaz eti ve kısımları vb.)"
Kars,Beş Yıldızlı Konaklama Tesisi
Kars,"Kavılca Buğdayından Dondurulmuş Unlu Mamul Üretimi (Ekmek, pizza, hamur, pasta vb.)"
Kastamonu,Asgari 1000 Büyükbaş Kapasiteli Entegre Besi ve Et Ürünleri İşleme Tesisi
Kastamonu,Çapraz Lamine Ahşap Panel Üretimi Tesisi
Kastamonu,Modüler Mobilya Üretimi Tesisi
Kastamonu,Kenevir İşleme Tesisi (Kenevir elyafı vb.)
Kayseri,"Elektrikli Ev Aletlerinde veya Ölçüm Cihazlarında Kullanılan Yüksek Katma Değerli Ürünlerin İmalatı (Sensörler, mikro denetleyiciler, led ekranlar, elektronik pasif bileşenler vb.)"
Kayseri,Sivil Havacılık Ürünleri İmalatı (İnsansız hava aracı ve eğitim uçağı iniş takımı aksam ve parçaları vb.)
Kayseri,Enerji Depolama Sistemleri Üretim Tesisi (Prizmatik pil vb.)
Kayseri,"Mobilya Sektöründe İleri-Geri Bağlantılı Katma Değeri Yüksek Ürünlerin Üretimi (TDI, fermuar, teknik tekstil, nitelikli bağlantı elamanları vb.)"
Kırıkkale,Biyodizel Üretim Tesisi
Kırıkkale,Membran Üretim Tesisi
Kırıkkale,Biyoetanol Üretim Tesisi
Kırıkkale,Silah ve Silah Parçaları Üretim Tesisi
Kırklareli,Jeotermal Sera Tesisi (Asgari 50 dekar otomasyon sera)
Kırklareli,Asgari 2500 Küçükbaş Kapasiteli Entegre Süt Üretimi ve İşleme Tesisi
Kırklareli,"Ağaç Ürünlerinden Yüksek Nitelikli Zemin, Dış Cephe Malzemesi ve Büro Mobilyaları İmalatı"
Kırklareli,"Maya Üretim Tesisi (Kuru maya, yaş maya vb.)"
Kırşehir,Flakon ve Cam Ambalaj Üretim Tesisi
Kırşehir,Beş Yıldızlı Termal Otel ve Kongre Merkezi
Kırşehir,Granül Kalsit Üretim Tesisi
Kırşehir,Modern Entegre Jeotermal Sera Kurulumu ve Jeodry Yöntemiyle Kurutulmuş Meyve Sebze Üretimi ve Paketleme Tesisi (Asgari 20 dönüm)
Kilis,"Zeytin Atıklarından Katma Değerli Ürün Üretimi (Aktif karbon, rafine zeytin yağı, polifenol, organik gübre vb.)"
Kilis,"Ambalaj Ürünleri Üretimi Tesisi (Oluklu Karton, Oluklu Olmayan Kağıt Ambalaj, Metal ve Plastik Gıda Ambalajları vb.)"
Kilis,"Üzüm İşleme ve Üzüm Mamulü Katma Değerli Ürünler Üretimi (Üzüm suyu, sirke, üzüm atıklarından çekirdek yağı, tartarik asit üretimi vb.)"
Kilis,Asgari 3000 Küçükbaş Kapasiteli Entegre Süt Üretim ve İşleme Tesisi
Kocaeli,Elektrikli Lastik Pişirme Presi Üretimi
Kocaeli,Rulman Üretim Tesisi
Kocaeli,GMT (Cam Elyafı ile Takviye Edilmiş Termoplastik) Levha Üretimi
Kocaeli,Akü Geri Dönüşüm Tesisi
Konya,Raylı Taşımacılık İçin Demiryolu Araçlarına Ait Parçaların Üretimi
Konya,Mermi Üretim Tesisi
Konya,MIM Teknolojisiyle Askeri Silah Parçaları ve Soğuk Dövme Namlu Üretimi
Konya,Yem Katkı Maddeleri / Buzağı Maması Üretimi
Kütahya,Bakır Filmaşin Üretim Tesisi
Kütahya,Endüstriyel Akü Üretim Tesisi
Kütahya,Grafit Zenginleştirme Tesisi
Kütahya,Teknik Seramik Ürünleri Üretimi Tesisi
Malatya,Asgari 2000 Büyükbaş Kapasiteli Entegre Besi ve Et Ürünleri İşleme Tesisi
Malatya,"Entegre Su Ürünleri Üretimi ve İşleme Tesisi (Balık yetiştiriciliği, balık fileto, tütsülenmiş balık, balık konserve, panelenmiş balık ürünleri, balık yemi ve/veya diğer hayvan yemleri vb.)"
Malatya,"Hazır Giyim ve Konfeksiyon Sektöründe İleri-Geri Bağlantılı Ürünlerin Üretimi (Dokuma/örme kumaş, iplik, etiket, fermuar, düğme vb.)"
Malatya,Kayısı ve Kayısı Çekirdeğinden Katma Değeri Yüksek Ürünlerin Üretimi
Manisa,Elektronik Kart/Modülleri vb. Üretimi
Manisa,"Modern Jeotermal Sera Kurulumu, Jeodry Yöntemiyle Kurutulmuş Meyve Sebze Üretimi ve Paketleme Entegre Tesisi (Asgari 20 dönüm)"
Manisa,"Teknolojik Tarım Makineleri Üretimi (Akıllı tarım teknolojileriyle entegre edilen hassas dozajlama sistemlerine sahip tarım makineleri ve/veya hassas tarım uygulamaları, imalatı, teknolojik tarım makineleri üretimi)"
Manisa,"Zeytin Atıklarından Katma Değerli Ürün Üretimi (Aktif karbon, rafine zeytin yağı, polifenol, organik gübre vb.)"
Mardin,Otomotiv Sektörü N Sınıfı Araçlara Yönelik Tekstil Ürünlerinin Üretimi
Mardin,Dirençli Nişasta ve Nişastalı Ürünlerin İmalatı
Mardin,Asya Eriştesi (Noodle) İmalatı
Mardin,Antivenom ve Antiserum Üretimi
Mersin,"Meyve ve Atıklarından Katma Değerli Ürünler Üretimi (Meyve tozu/granül, pektin, selüloz, hemiselüloz vb.)"
Mersin,Tekne ve Yat Üretimi
Mersin,"Bakliyat Ürünlerinden Katma Değerli Hazır Gıda Üretimi (Baklagil unu, nohut kabuğu, nohut cipsi, nohut protein tozu, baklagil ekmeği, baklagil bulguru, baklagil keki, baklagil krakerleri, baklagil makarnası, baklagil sütü, baklagil konservesi, nohut pufu, humus, baklagil barı, kraker vb.)"
Mersin,Organik Bebek ve Çocuk Maması Üretimi
Muğla,"Hibrit, Elektrikli ve Güneş Enerjisi Destekli Çevre Dostu Deniz Araçları Üretimi"
Muğla,Fitokimyasal Bileşen Üretimi
Muğla,Mermer Atıklarından Mikronize Kalsit Üretimi Tesisi
Muğla,Doğal Kompoze Taş Entegre Üretimi Tesisi
Muş,Asgari 500 Büyükbaş Kapasiteli Entegre Besi ve Et Ürünleri İşleme Tesisi
Muş,Asgari 500 Büyükbaş Kapasiteli Entegre Süt Üretim ve İşleme Tesisi
Muş,Dört Yıldızlı Termal Otel ve Sağlık Merkezi Yatırımı
Muş,"Entegre Kaz Yetiştiriciliği ve Ürünleri İşleme Tesisi (Palaz, kaz yumurtası, kaz eti ve kısımları vb.)"
Nevşehir,Dondurulmuş Patates ve Patatesten Katma Değerli Mamul Ürünler Üretimi
Nevşehir,Veri Merkezi (Kaya Oyma)
Nevşehir,"Sıcak Hava Balonu ve Aksamları Üretimi (Sıcak hava balonu kubbesi, burner, sepet, kumaş vb.)"
Nevşehir,Kapadokya Film Platosu (Kapadokya Alan Başkanlığının Kapsadığı Alan Dahilinde)
Niğde,Medikal Ürünler vb. Ürünler İçin Endüstriyel Kalsit Üretimi
Niğde,Gıda ve İçecek Makinaları Üretimi
Niğde,Ayakkabı Üretimi
Niğde,"Maden İşleme ve Taş Ocağı Makinaları Üretimi (Taş, toprak, cevher, alçı, çimento ve diğer mineral maddeleri tasnif etme, eleme, ayırma, yıkama, ezme, öğütme, karıştırma, yoğurma vb. işlemden geçirme için kullanılan makineler vb.)"
Ordu,"Kakao İşleme ve Endüstriyel Çikolata Üretimi (Kakao tozu ve kakao yağı, bitter, sütlü ve beyaz kuvertür çikolata, fındıklı kalıp çikolata, çikolata kaplı bar, gofretli, bisküvili ürünler, kakaolu fındık kreması)"
Ordu,Bentonit Bazlı Kişisel Bakım ve Sağlık Ürünleri ile Katma Değerli Ürünler Üretimi
Ordu,Geriatri Turizmi Merkezi
Ordu,"Bal ve Arı Ürünleri Tesisi (Bal paketleme, arı sütü, polen, propolis vb yenilikçi arı ürünleri vb.)"
Osmaniye,Demir Oksit Pigment Üretimi Tesisi
Osmaniye,Asgari 1000 Büyükbaş Kapasiteli Entegre Besi ve Et Ürünleri İşleme Tesisi
Osmaniye,Modern Entegre Kesme Çiçek ve Sebze Üretim Serası (Asgari 20 dönüm)
Osmaniye,"Yer Fıstığı İşleme Tesisi (Yer fıstığı ezmesi/kreması/draje/krokan, yer fıstığı sütü, prebiyotik ürünler, enzimler, yer fıstığı proteini ve izolatları, biyoplastik ürünleri, yer fıstığı zindelik ve sağlık ürünleri vb.)"
Rize,"Doğa Temelli Turizm Merkezi (sağlık kompleksi, ekoturizm merkezi, macera parkı, apiterapi, konaklama vb.)"
Rize,Çay Atıklarından Aktif Karbon Üretimi
Rize,"Silah ve Silah Parçaları Üretimi (Tabanca, bomba atar, uçak savar imalatı ile namlu, tetik, patlayıcı madde saklama kapları, patlayıcı madde ateşleme sistemleri, tapa vb.)"
Rize,Butik Çay Turizm Kompleksi
Sakarya,Doğrusal Hareket Kızakları Üretimi
Sakarya,Endüstriyel Otonom Temizlik Makinesi Üretimi
Sakarya,Gemiler ve Yüzer Araçlar İçin Basınçlı Hava ile Çalışan Sanitasyon Sistemleri Üretimi
Sakarya,"Meyve ve Atıklarından Katma Değerli Ürünler Üretimi (Meyve tozu/granül, pektin, selüloz, hemiselüloz vb.)"
Samsun,"Silah ve Silah Parçaları Üretimi (Tabanca, bomba atar, uçak savar imalatı ile namlu, tetik, patlayıcı madde saklama kapları, patlayıcı madde ateşleme sistemleri, tapa vb.)"
Samsun,Akıllı Filtre Sistemleri Üretimi (Sensör ve yazılım destekli yağ/yakıt/hava/toz/endüstriyel baca/jeneratör/hava kurutucu/hidrolik/boru hattı vb. filtresi)
Samsun,"Metal ve Kauçuktan Ticarî Araç Aksam ve Parçaları Üretim Tesisi (Amortisör, fren balataları, rot, şanzıman, süspansiyon, otomotiv kablolama vb.)"
Samsun,"Tıbbî Cihaz Üretimi (Ultrason, mamografi, röntgen, MR, cerrahî motor, EKG, solunum cihazı, holter, diyaliz makinesi vb.)"
Siirt,Dondurma Üretimi
Siirt,Dört Yıldız ve Üzeri Konaklama Tesisi
Siirt,"Meyan Kökü İşleme Tesisi (Konsantre meyan, öğütülmüş meyan, meyan çubuk, lif meyan vb.)"
Siirt,Medikal Serum Seti Üretimi
Sinop,Kapalı Devre Su Ürünleri Yetiştiriciliği
Sinop,Balık Yağı Rafinasyonu Tesisi
Sinop,Masif Ahşap Ürünleri ve Masif Mobilya Üretim Tesisi
Sinop,Yat Limanı Kurulumu
Sivas,"Havacılık, Raylı Sistemler ve Otomotiv Endüstrileri İçin Mekanik Bağlantı Elemanları İmalatı (Elektromanyetik olmayan kaplin, kaplin türevleri vb.)"
Sivas,Ulaşım Araçlarında Kullanılan Elektriksel ve Diğer Ara Bağlantı Sistemleri / Ekipmanları İmalatı (Kablo bağlantı elemanları vb.)
Sivas,Alçı Plaka Üretimi
Sivas,Optik Ürünler İmalatı
Şanlıurfa,"Selüloz ve Selüloz Bazlı Kimyasal Ürünler Üretimi (Selüloz, selüloz asetat vb.)"
Şanlıurfa,Taş Yünü Üretimi
Şanlıurfa,"Entegre Su Ürünleri Üretimi ve İşleme Tesisi (Balık yetiştiriciliği, balık fileto, tütsülenmiş balık, balık konserve, panelenmiş balık ürünleri, balık yemi ve/veya diğer hayvan yemleri vb.)"
Şanlıurfa,"Koyun Yapağısından Katma Değerli Ürün Üretimi (Yün ipliği, çözgü ipi, keçe ve temizlenmiş yün vb.)"
Şırnak,Mobilya Üretimi
Şırnak,Asfaltitin Gazlaştırılması Tesisi
Şırnak,"Yer Fıstığı İşleme Tesisi (Yer fıstığı ezmesi/kreması/draje/krokan, yer fıstığı sütü, prebiyotik ürünler, enzimler, yer fıstığı proteini ve izolatları, biyoplastik ürünleri, yer fıstığı zindelik ve sağlık ürünleri vb.)"
Şırnak,"Kara Taşıtlarının Diğer Aksam ve Parçaları Üretimi (Tır, dorse, kamyonların motor parçaları, yedek parça, ekipmanları ve aksesuarları vb.)"
Tekirdağ,Asgari 2000 Büyükbaş Kapasiteli Entegre Besi ve Et Ürünleri İşleme Tesisi
Tekirdağ,Akıllı Küçük Ev Aletleri Üretimi
Tekirdağ,"Tıbbı Araç Gereç İmalatı (Steril kan tüpü, steril tek/çok dozlu şişe, solunum devresi vb.)"
Tekirdağ,Tekstil Boyama ve Benzeri Tekstil Makineleri İmalatı
Tokat,"Meyve ve Atıklarından Katma Değerli Ürünler Üretimi (Meyve tozu/granül, pektin, selüloz, hemiselüloz vb.)"
Tokat,"Yüksek Ekonomik Değere Sahip Endüstriyel Süt Ürünleri Üretimi (Çiğ süt, süt asidi, kazein, süt protein izolatı/ süt protein konsantresi, rennet kazein, peynir altı suyu protein izolatı/konsantresi, saf rafine laktoz vb.)"
Tokat,"Maya Üretim Tesisi (Kuru maya, yaş maya vb.)"
Tokat,Asgari 500 Baş Manda Süt Hayvancılığı ve Süt Ürünleri Üretim Tesisi
Trabzon,"Entegre Su Ürünleri Üretimi ve İşleme Tesisi (Balık yetiştiriciliği, balık fileto, tütsülenmiş balık, balık konserve, panelenmiş balık ürünleri, balık yemi ve/veya diğer hayvan yemleri vb.)"
Trabzon,Elektrikli Tekne ve Yat Üretimi
Trabzon,"Endüstriyel Ağ ve Benzeri Ürünler Üretimi (Gırgır ağları, kafes balıkçılığı ağları, trol ağları, güvenlik ağları vb.)"
Trabzon,Tıbbi ve Aromatik Bitkilerden Biyoaktif Potansiyelli Ürünler ve Katma Değerli Ürünler İmalatı
Tunceli,Beş Yıldızlı Konaklama Tesisi
Tunceli,Dört Yıldız ve Üzeri Termal Konaklama Kompleksi
Tunceli,"Doğa Temelli Turizm Merkezi (sağlık kompleksi, ekoturizm merkezi, macera parkı, apiterapi, konaklama vb.)"
Tunceli,Asgari 500 Büyükbaş Kapasiteli Entegre Süt Üretim ve İşleme Tesisi
Uşak,"Medikal Tekstil Ürünleri Üretimi (Medikal yastık/yorgan, sargı bezi, yara bandı, alçı bezi vb.)"
Uşak,"Teknik ve Endüstriyel Keçe ve Keçe Malzemeleri İmalatı (Plastik emdirilmiş, sıvanmış, kaplanmış, plastik ile lamine edilmiş mensucat vb.)"
Uşak,"Tekstil Kimyasalları Üretimi (Sentetik kıvamlaştırıcılar, hidrojene olan yağlar,"
Uşak,silikon yağları vb. tekstil kimyasalları)
Uşak,"Tekstil Makinaları İmalatı (Telef açma, iplik üretimi, dokuma, terbiye, keçe, halı üretim makineleri vb.)"
Van,Taş Yünü Üretimi
Van,"Koyun Yapağısından Katma Değerli Ürün Üretimi (Yün ipliği, çözgü ipi, keçe ve temizlenmiş yün vb.)"
Van,"Hazır Giyim ve Konfeksiyon Sektöründe İleri-Geri Bağlantılı Ürünlerin Üretimi (Dokuma/örme kumaş, iplik, etiket, fermuar, düğme vb.)"
Van,"Van Gölü 5 Yıldızlı Konaklama Tesisi (dalış merkezi, aquapark, kongre alanları, havuz, binicilik vs.)"
Yalova,Otomotiv Sektörüne Yönelik Kauçuklu Parça Üretimi
Yalova,"Katma Değeri Yüksek Tıbbi ve Aromatik Bitkisel Ürünler Üretimi (Aronya vb. işleme, süperkritik ekstraksiyon)"
Yalova,Akıllı Sulama ve İklimlendirme Sistemleri Üretimi
Yalova,Gemi Motoru Üretimi
Yozgat,"Paketlenmiş Hazır Gıda Üretim Tesisi (Savunma sanayine yönelik gıda üretimi, hazır yemek kiti vb.)"
Yozgat,"Bakliyat Ürünlerinden Katma Değerli Hazır Gıda Üretimi (Baklagil unu, nohut kabuğu, nohut cipsi, nohut protein tozu, baklagil ekmeği, baklagil bulguru, baklagil keki, baklagil krakerleri, baklagil makarnası, baklagil sütü, baklagil konservesi, nohut pufu, humus, baklagil barı, kraker vb.)"
Yozgat,"Tarım ve Bahçecilik Makinalarının Aksam ve Parçaları İmalatı (Pulluk, kültivatör, gübre dağıtım makineleri vb.)"
Yozgat,Asgari 1000 Büyükbaş Kapasiteli Entegre Besi ve Et Ürünleri İşleme Tesisi
Zonguldak,Katma Değeri Yüksek Tıbbi ve Aromatik Bitkisel Ürünler Üretimi
Zonguldak,"(Defne esansı, defne yağı, defne aroması, defne yağı bazlı masaj yağları, defne kolonyası, defne tohumları, kurutulmuş yaprak vb.)"
Zonguldak,"Entegre Su Ürünleri Üretim ve İşleme Tesisi (Deniz alabalığı, işlenmiş balık çeşitleri, taze temizlenmiş balık, fileto balık, dondurulmuş balık, deniz salyangozu vb.)"
Zonguldak,"Yassı Çelik Tabanlı Yüksek Katma Değerli Ürün Üretimi (Yüksek nitelikli bağlantı elemanları, özel amaçlı basınçlı kaplar, endüstriyel borular, araç alt parçaları ve makine-teçhizat bileşenleri vb.)"
Zonguldak,Ağaç ve Orman Ürünleri Entegre İşleme Tesisi
